country,Capital,CapitalLatitude,CapitalLongitude
United Arab Emirates,Abu Dhabi,24.46666667,54.366667
Nigeria,Abuja,9.083333333,7.533333
Netherlands,Amsterdam,52.35,4.916667
Turkey,Ankara,39.93333333,32.866667
Greece,Athens,37.98333333,23.733333
Thailand,Bangkok,13.75,100.516667
China,Beijing,39.91666667,116.383333
Germany,Berlin,52.51666667,13.4
Switzerland,Bern,46.91666667,7.466667
Kyrgyzstan,Bishkek,42.86666667,74.6
Colombia,Bogota,4.6,-74.083333
Brazil,Brasilia,-15.78333333,-47.916667
Slovakia,Bratislava,48.15,17.116667
Belgium,Brussels,50.83333333,4.333333
Romania,Bucharest,44.43333333,26.1
Hungary,Budapest,47.5,19.083333
Argentina,Buenos Aires,-34.58333333,-58.666667
Egypt,Cairo,30.05,31.25
Australia,Canberra,-35.26666667,149.133333
Denmark,Copenhagen,55.66666667,12.583333
Ireland,Dublin,53.31666667,-6.233333
Finland,Helsinki,60.16666667,24.933333
Pakistan,Islamabad,33.68333333,73.05
Indonesia,Jakarta,-6.166666667,106.816667
Israel,Jerusalem,31.76666667,35.233333
Afghanistan,Kabul,34.51666667,69.183333
Peru,Lima,-12.05,-77.05
Slovenia,Ljubljana,46.05,14.516667
Spain,Madrid,40.4,-3.683333
Philippines,Manila,14.6,120.966667
Mexico,Mexico City,19.43333333,-99.133333
Russia,Moscow,55.75,37.6
Hong Kong,Hong Kong,22.346578,114.135442
Kenya,Nairobi,-1.283333333,36.816667
Bahamas,Nassau,25.08333333,-77.35
India,New Delhi,28.6,77.2
Aruba,Oranjestad,12.51666667,-70.033333
Norway,Oslo,59.91666667,10.75
Canada,Ottawa,45.41666667,-75.7
Panama,Panama City,8.966666667,-79.533333
France,Paris,48.86666667,2.333333
Cambodia,Phnom Penh,11.55,104.916667
Czech Republic,Prague,50.08333333,14.466667
South Africa,Pretoria,-25.7,28.216667
Iceland,Reykjavik,64.15,-21.95
Italy,Rome,41.9,12.483333
Chile,Santiago,-33.45,-70.666667
Dominican Republic,Santo Domingo,18.46666667,-69.9
South Korea,Seoul,37.55,126.983333
Bulgaria,Sofia,42.68333333,23.316667
Sweden,Stockholm,59.33333333,18.05
Taiwan,Taipei,25.03333333,121.516667
Georgia,Tbilisi,41.68333333,44.833333
Iran,Tehran,35.7,51.416667
Japan,Tokyo,35.68333333,139.75
Libya,Tripoli,32.88333333,13.166667
Poland,Warsaw,52.25,21
New Zealand,Wellington,-41.3,174.783333
Cameroon,Yaounde,3.866666667,11.516667
USA,Washington,38.8951111,-77.0363693
UK,London,51.5,-0.083333
